time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pmh,pml,pmc,sweep_prev_high,sweep_prev_low
2023-10-22T07:00:00+0700,1.05893,1.06935,1.05221,1.05614,212289,0.017139999999999933,0.014752857142857154,0.017139999999999933,0.002789999999999848,0.010420000000000096,0.003929999999999989,0.22928821470245067,0,0,,0,0,0,0,1.0718495754464772,1.0724404539937107,1.08084,1.04876,1.0562,0,0
2023-10-29T07:00:00+0700,1.05602,1.07463,1.05167,1.07282,218093,0.02295999999999987,0.014921428571428577,0.02295999999999987,0.016800000000000148,0.0018099999999998673,0.004349999999999854,0.9211672473867649,0,0,,0,0,0,0,1.071941996832527,1.0724553381508202,1.08084,1.04876,1.0562,0,0
2023-11-05T07:00:00+0700,1.07207,1.07558,1.06557,1.06814,190791,0.010010000000000074,0.014682857142857155,0.010010000000000074,0.003929999999999989,0.003509999999999902,0.0025700000000001832,0.25674325674327314,0,0,,0,0,0,0,1.0715799018960959,1.0722861092037292,1.07463,1.04478,1.07282,1,0
2023-11-12T07:00:00+0700,1.06802,1.09132,1.06646,1.09102,195041,0.024860000000000104,0.01548928571428573,0.024860000000000104,0.02300000000000013,0.00029999999999996696,0.0015600000000000058,0.9879324215607416,0,0,,0,0,0,0,1.0734313398107533,1.0730207715878968,1.07463,1.04478,1.07282,0,0
2023-11-19T07:00:00+0700,1.09073,1.09647,1.0852,1.09306,180563,0.011270000000000113,0.015471428571428596,0.011270000000000113,0.0023299999999999432,0.003410000000000135,0.005530000000000035,0.6974267968056699,0,0,,0,0,0,0,1.075300736019253,1.0738066236824892,1.07463,1.04478,1.07282,0,0
2023-11-26T07:00:00+0700,1.09418,1.10168,1.08284,1.08765,232248,0.018839999999999968,0.0156414285714286,0.018839999999999968,0.006529999999999925,0.007500000000000062,0.004809999999999981,0.2553078556263264,1,0,,0,0,0,0,1.0764768563983718,1.074349501185137,1.07463,1.04478,1.07282,0,0
2023-12-03T07:00:00+0700,1.08743,1.08944,1.07235,1.07582,248173,0.01709000000000005,0.015587857142857169,0.01709000000000005,0.011609999999999898,0.0020100000000000673,0.003470000000000084,0.20304271503803828,0,1,,0,0,0,0,1.0764142986461458,1.0744071678053277,1.10168,1.06557,1.08765,0,0
2023-12-10T07:00:00+0700,1.0756000000000001,1.10088,1.07412,1.0890900000000001,252613,0.026760000000000117,0.01662285714285718,0.026760000000000117,0.013490000000000002,0.011789999999999967,0.0014800000000001479,0.5594170403587475,0,0,,0,0,0,0,1.0776215082988938,1.0749829651462952,1.10168,1.06557,1.08765,0,0
2023-12-17T07:00:00+0700,1.08947,1.10396,1.08916,1.10071,220093,0.014869999999999939,0.016692142857142885,0.014800000000000146,0.011240000000000139,0.003249999999999975,0.00031000000000003247,0.7804054054054093,0,0,,0,0,0,0,1.0798204122704278,1.0759918684738916,1.10168,1.06557,1.08765,1,0
2023-12-24T07:00:00+0700,1.10003,1.11389,1.10003,1.1033,132348,0.013859999999999983,0.016811428571428588,0.013859999999999983,0.003269999999999884,0.0105900000000001,0.0,0.23593073593072786,1,0,,0,0,0,0,1.0820565634827681,1.0770627755925624,1.10168,1.06557,1.08765,0,0
2023-12-31T07:00:00+0700,1.10412,1.10438,1.08765,1.09385,190670,0.01672999999999991,0.01681000000000001,0.01672999999999991,0.010270000000000001,0.00025999999999992696,0.006199999999999983,0.37059175134489036,0,0,,0,0,0,0,1.0831797479129808,1.0777210981183443,1.10168,1.06557,1.08765,1,0
2024-01-07T07:00:00+0700,1.09325,1.09991,1.09101,1.09463,223169,0.008899999999999908,0.016362142857142863,0.008899999999999908,0.0013799999999999368,0.005279999999999951,0.0022400000000000198,0.40674157303370717,0,0,,0,0,0,0,1.0842702481117446,1.0783841923097817,1.11389,1.07235,1.09385,0,0
2024-01-14T07:00:00+0700,1.09443,1.0967,1.08441,1.08947,215286,0.012289999999999912,0.016209999999999995,0.012289999999999912,0.0049600000000000755,0.0022699999999999942,0.005059999999999842,0.41171684296174765,0,0,,0,0,0,0,1.0847654625772927,1.078818929866261,1.11389,1.07235,1.09385,0,0
2024-01-21T07:00:00+0700,1.08873,1.0931899999999999,1.08125,1.08484,209356,0.01193999999999984,0.016251428571428552,0.01193999999999984,0.003889999999999949,0.0044599999999999085,0.003589999999999982,0.3006700167504213,0,0,,0,0,0,0,1.0847725613794552,1.0790550502636624,1.11389,1.07235,1.09385,0,0
2024-01-28T07:00:00+0700,1.084,1.0897000000000001,1.07795,1.07834,236308,0.01175000000000015,0.015866428571428566,0.01175000000000015,0.005659999999999998,0.005700000000000038,0.0003900000000001125,0.03319148936171128,0,0,,0,0,0,0,1.0841599364861738,1.0790270090768521,1.11389,1.07235,1.09385,0,0
