time_utc,open,high,low,close,tick_volume,spread,real_volume
2025-03-18T00:00:00Z,1.09212,1.09542,1.08921,1.09429,39163,10,0
2025-03-19T00:00:00Z,1.09432,1.09456,1.08601,1.09011,44288,10,0
2025-03-20T00:00:00Z,1.09011,1.09169,1.08142,1.08477,41931,10,0
2025-03-21T00:00:00Z,1.08486,1.08608,1.07971,1.08081,39839,10,0
2025-03-24T00:00:00Z,1.08116,1.08578,1.07812,1.07997,42900,10,0
2025-03-25T00:00:00Z,1.07998,1.08297,1.07765,1.07908,39582,10,0
2025-03-26T00:00:00Z,1.07898,1.08023,1.07435,1.0751,42185,10,0
2025-03-27T00:00:00Z,1.07551,1.08207,1.07325,1.08005,45811,10,0
2025-03-28T00:00:00Z,1.07976,1.08443,1.07642,1.08261,40648,10,0
2025-03-31T00:00:00Z,1.08241,1.08489,1.07837,1.08134,48066,10,0
2025-04-01T00:00:00Z,1.08169,1.08297,1.0778,1.07907,43331,10,0
2025-04-02T00:00:00Z,1.07892,1.09239,1.07798,1.08592,45527,10,0
2025-04-03T00:00:00Z,1.08476,1.1145,1.08047,1.10499,94583,10,0
2025-04-04T00:00:00Z,1.1049,1.11072,1.09241,1.09626,109043,10,0
2025-04-07T00:00:00Z,1.08889,1.10495,1.08796,1.09038,122790,10,0
2025-04-08T00:00:00Z,1.09026,1.09914,1.0888,1.09567,90170,10,0
2025-04-09T00:00:00Z,1.09525,1.10947,1.09129,1.09463,123970,10,0
2025-04-10T00:00:00Z,1.09474,1.1241,1.09427,1.12003,100791,10,0
2025-04-11T00:00:00Z,1.11925,1.1473,1.11801,1.13583,124286,10,0
2025-04-14T00:00:00Z,1.13113,1.14241,1.12955,1.13483,84891,10,0
2025-04-15T00:00:00Z,1.13442,1.13784,1.12638,1.12797,65455,10,0
2025-04-16T00:00:00Z,1.12801,1.14123,1.1279,1.13971,74697,10,0
2025-04-17T00:00:00Z,1.13973,1.14089,1.13347,1.13603,62033,10,0
2025-04-18T00:00:00Z,1.13585,1.13971,1.13564,1.13904,66661,10,0
2025-04-21T00:00:00Z,1.13945,1.15728,1.13819,1.1510799999999999,62186,10,0
2025-04-22T00:00:00Z,1.15077,1.15468,1.14172,1.14193,66928,10,0
2025-04-23T00:00:00Z,1.14212,1.14394,1.13075,1.13133,79811,10,0
2025-04-24T00:00:00Z,1.1314,1.13973,1.13132,1.13875,56229,10,0
2025-04-25T00:00:00Z,1.1383,1.1391,1.13153,1.13614,52600,10,0
2025-04-28T00:00:00Z,1.13633,1.1424400000000001,1.1329,1.14201,50678,10,0
2025-04-29T00:00:00Z,1.14199,1.14215,1.1369799999999999,1.13817,53855,10,0
2025-04-30T00:00:00Z,1.13864,1.13989,1.13167,1.13277,56533,10,0
2025-05-01T00:00:00Z,1.13245,1.13405,1.12654,1.12886,50197,10,0
2025-05-02T00:00:00Z,1.12855,1.13805,1.12738,1.12992,60434,10,0
2025-05-05T00:00:00Z,1.13031,1.13644,1.12919,1.13134,52680,10,0
2025-05-06T00:00:00Z,1.13134,1.13806,1.12794,1.13663,53235,10,0
2025-05-07T00:00:00Z,1.13633,1.13773,1.12913,1.12985,64587,10,0
2025-05-08T00:00:00Z,1.13,1.13357,1.12115,1.12263,62161,10,0
2025-05-09T00:00:00Z,1.1221700000000001,1.12926,1.11961,1.12454,47809,10,0
2025-05-12T00:00:00Z,1.11957,1.12423,1.10648,1.1085,70536,10,0
2025-05-13T00:00:00Z,1.10873,1.11942,1.10845,1.11836,54465,10,0
2025-05-14T00:00:00Z,1.11844,1.12654,1.11639,1.11708,60356,10,0
2025-05-15T00:00:00Z,1.11769,1.12274,1.11699,1.11807,51539,10,0
2025-05-16T00:00:00Z,1.11855,1.12192,1.11306,1.11611,46793,10,0
2025-05-19T00:00:00Z,1.11742,1.12877,1.117,1.12397,53550,10,0
2025-05-20T00:00:00Z,1.12329,1.12845,1.12176,1.1283,47868,10,0
2025-05-21T00:00:00Z,1.1280999999999999,1.13623,1.1279,1.1329500000000001,55064,10,0
2025-05-22T00:00:00Z,1.13229,1.13443,1.12554,1.12775,56506,10,0
2025-05-23T00:00:00Z,1.12787,1.13751,1.12776,1.13561,52987,10,0
2025-05-26T00:00:00Z,1.13639,1.14182,1.13603,1.13856,35182,10,0
2025-05-27T00:00:00Z,1.138,1.14067,1.13228,1.13267,45757,10,0
2025-05-28T00:00:00Z,1.13233,1.13445,1.1283400000000001,1.12903,48100,10,0
2025-05-29T00:00:00Z,1.12906,1.1384,1.12101,1.13649,60157,10,0
2025-05-30T00:00:00Z,1.13666,1.13893,1.13122,1.13459,55136,10,0
2025-06-02T00:00:00Z,1.13435,1.14493,1.13427,1.1442,50506,10,0
2025-06-03T00:00:00Z,1.14379,1.14541,1.13638,1.13695,44110,10,0
2025-06-04T00:00:00Z,1.13717,1.1434,1.1356600000000001,1.14157,46199,10,0
2025-06-05T00:00:00Z,1.14138,1.14945,1.14042,1.14428,51493,10,0
2025-06-06T00:00:00Z,1.1442700000000001,1.14568,1.13712,1.13932,46239,10,0
2025-06-09T00:00:00Z,1.14028,1.14388,1.13861,1.1419,33978,10,0
2025-06-10T00:00:00Z,1.14199,1.14471,1.13725,1.14238,43273,10,0
2025-06-11T00:00:00Z,1.14223,1.1499,1.14049,1.14872,47160,10,0
2025-06-12T00:00:00Z,1.14841,1.16309,1.14833,1.15838,55778,10,0
2025-06-13T00:00:00Z,1.15789,1.16139,1.14885,1.15454,70619,10,0
2025-06-16T00:00:00Z,1.15308,1.1614200000000001,1.15233,1.15592,56271,10,0
2025-06-17T00:00:00Z,1.15581,1.15796,1.1474199999999999,1.1479,57018,10,0
2025-06-18T00:00:00Z,1.14747,1.15298,1.14605,1.14819,57772,10,0
2025-06-19T00:00:00Z,1.14736,1.14995,1.14459,1.14958,45724,10,0
2025-06-20T00:00:00Z,1.14903,1.15435,1.14899,1.15204,49845,10,0
2025-06-23T00:00:00Z,1.14561,1.15812,1.14531,1.1577,66778,10,0
2025-06-24T00:00:00Z,1.15774,1.16413,1.15721,1.16073,58817,10,0
2025-06-25T00:00:00Z,1.1605699999999999,1.16646,1.15896,1.16585,43169,10,0
2025-06-26T00:00:00Z,1.16545,1.17444,1.16527,1.17004,54913,10,0
2025-06-27T00:00:00Z,1.16987,1.17532,1.16805,1.17146,50485,10,0
2025-06-30T00:00:00Z,1.17285,1.17869,1.17073,1.17864,48858,10,0
2025-07-01T00:00:00Z,1.1781,1.18292,1.17609,1.18041,48305,10,0
2025-07-02T00:00:00Z,1.18002,1.18094,1.17465,1.1797900000000001,46228,10,0
2025-07-03T00:00:00Z,1.17946,1.18095,1.1717,1.1756,42420,10,0
2025-07-04T00:00:00Z,1.17577,1.1787,1.17515,1.17733,39448,10,0
2025-07-07T00:00:00Z,1.17811,1.17898,1.16865,1.1707,44977,10,0
2025-07-08T00:00:00Z,1.17071,1.17647,1.16822,1.1724,46059,10,0
2025-07-09T00:00:00Z,1.1718600000000001,1.17288,1.16892,1.1721,42201,10,0
2025-07-10T00:00:00Z,1.1715,1.1749100000000001,1.16622,1.16992,37602,10,0
2025-07-11T00:00:00Z,1.1696900000000001,1.17135,1.16642,1.16886,45215,10,0
2025-07-14T00:00:00Z,1.16665,1.16972,1.16538,1.1663999999999999,40450,10,0
2025-07-15T00:00:00Z,1.16617,1.16923,1.15924,1.16013,41142,10,0
2025-07-16T00:00:00Z,1.15977,1.17211,1.15619,1.16387,52659,10,0
2025-07-17T00:00:00Z,1.16329,1.16419,1.15566,1.15964,40503,10,0
2025-07-18T00:00:00Z,1.15928,1.16716,1.15923,1.16242,39539,10,0
2025-07-21T00:00:00Z,1.16247,1.17163,1.1614200000000001,1.16946,38065,10,0
2025-07-22T00:00:00Z,1.16896,1.176,1.16784,1.17529,36810,10,0
2025-07-23T00:00:00Z,1.17529,1.17747,1.17104,1.17718,44992,10,0
2025-07-24T00:00:00Z,1.17671,1.17883,1.17301,1.17475,43123,10,0
2025-07-25T00:00:00Z,1.17346,1.17604,1.17028,1.174,43844,10,0
2025-07-28T00:00:00Z,1.17586,1.17699,1.1584,1.1587399999999999,48957,10,0
2025-07-29T00:00:00Z,1.15886,1.15987,1.15184,1.15441,49031,10,0
2025-07-30T00:00:00Z,1.15458,1.15723,1.13997,1.14023,53780,10,0
2025-07-31T00:00:00Z,1.14032,1.14605,1.14026,1.14134,50914,10,0
2025-08-01T00:00:00Z,1.14147,1.15965,1.13912,1.15858,64123,10,0
2025-08-04T00:00:00Z,1.15907,1.15951,1.15492,1.15711,54006,10,0
2025-08-05T00:00:00Z,1.15666,1.1587399999999999,1.15272,1.15736,47342,10,0
2025-08-06T00:00:00Z,1.15711,1.16681,1.15639,1.16587,42548,10,0
2025-08-07T00:00:00Z,1.16529,1.16984,1.16105,1.16628,49191,10,0
2025-08-08T00:00:00Z,1.16607,1.16789,1.16284,1.16391,44551,10,0
2025-08-11T00:00:00Z,1.16446,1.1675,1.15896,1.16148,36288,10,0
2025-08-12T00:00:00Z,1.16076,1.1696900000000001,1.15982,1.16718,50701,10,0
2025-08-13T00:00:00Z,1.16685,1.17298,1.16684,1.17032,38291,10,0
2025-08-14T00:00:00Z,1.17013,1.17146,1.16306,1.1647,45984,10,0
2025-08-15T00:00:00Z,1.1648100000000001,1.17147,1.1645699999999999,1.17029,37572,10,0
2025-08-18T00:00:00Z,1.171,1.17149,1.16555,1.16599,34452,10,0
2025-08-19T00:00:00Z,1.16597,1.16925,1.16387,1.16454,34736,0,0
2025-08-20T00:00:00Z,1.16428,1.16732,1.16218,1.16491,39407,10,0
2025-08-21T00:00:00Z,1.1649,1.16623,1.16007,1.16052,39813,10,0
2025-08-22T00:00:00Z,1.16042,1.17421,1.15825,1.17204,42307,10,0
2025-08-25T00:00:00Z,1.1721,1.17255,1.16023,1.16183,34353,10,0
2025-08-26T00:00:00Z,1.1617,1.16648,1.16018,1.16395,46479,10,0
2025-08-27T00:00:00Z,1.16419,1.16471,1.15736,1.16361,37382,10,0
2025-08-28T00:00:00Z,1.16336,1.1696900000000001,1.16287,1.16812,37903,10,0
2025-08-29T00:00:00Z,1.16798,1.17085,1.16504,1.16836,38175,10,0
2025-09-01T00:00:00Z,1.16932,1.17361,1.1685699999999999,1.171,29480,10,0
2025-09-02T00:00:00Z,1.17072,1.17178,1.16125,1.16403,50430,10,0
2025-09-03T00:00:00Z,1.1638600000000001,1.16816,1.16077,1.166,40446,10,0
2025-09-04T00:00:00Z,1.16572,1.1669,1.16295,1.16495,39072,10,0
2025-09-05T00:00:00Z,1.16454,1.1759,1.16454,1.17166,46361,10,0
2025-09-08T00:00:00Z,1.1710099999999999,1.17649,1.17031,1.17616,39986,10,0
2025-09-09T00:00:00Z,1.17595,1.1779600000000001,1.17033,1.17084,43636,10,0
2025-09-10T00:00:00Z,1.1703999999999999,1.17298,1.16822,1.1693500000000001,42513,10,0
2025-09-11T00:00:00Z,1.16936,1.17455,1.16597,1.17346,45834,10,0
2025-09-12T00:00:00Z,1.17314,1.17471,1.1701,1.1733500000000001,38537,10,0
2025-09-15T00:00:00Z,1.17269,1.1774,1.17158,1.17599,33887,10,0
